user_id,name,surname,email,birth_date,nationality,marital_status,sex,height,weight,phone,country,city,state,zip_code,latitude,longitude,job_title,salary,salary_currency,employment_status,company_name,company_size,years_experience,job_satisfaction,work_from_home_days,commute_time_minutes,vacation_days,start_date,education_level,field_of_study,university,graduation_year,student_debt,gpa,blood_type,has_insurance,is_smoker,last_medical_check,bmi,bmi_category,weekly_exercise_hours,alcohol_consumption,diet_type,sleep_hours,chronic_conditions,allergies,number_of_children,dependents,living_with_parents,household_size,spouse_employed,annual_household_income,credit_score,housing_cost,food_expenses,transportation_cost,debt_amount,savings,investment_portfolio_value,monthly_disposable_income,has_mortgage
1,Lupe,Cotton,lupe.cotton8@gmail.com,1969-05-29,Russia,Separated,Male,188,95,+7 901 406-81-59,Russia,Адыгейск 2,Адыгея Республика,385202,44.88,39.19,Chef,5340.0,USD,Full-time,El Celler de Can Roca,Small (1-50),36,Satisfied,0,47,33,1990-07-19,No degree,,,,0.0,,AB-,Yes,No,2026-04-22,26.9,Overweight,2,Moderate,Vegetarian,7.8,None,None,2,2,No,4,Yes,128827.41,638,1559.87,643.24,511.14,5693.18,27887.1,58840.05,2625.75,Yes
2,Magdalena,Saucedo,magdalena.saucedo49@outlook.com,1966-05-16,United States,Single,Female,168,90,+1 460-565-6802,United States,Naknek,Alaska,99633,58.783,-156.8992,Farmer,4658.0,USD,Freelance,John Deere Ibérica,Large (501-5000),41,Satisfied,0,57,33,1985-07-20,High School,,Technical High School,1984.0,0.0,3.66,AB-,Yes,Yes,2026-04-15,31.9,Obese,0,None,Omnivore,6.2,Asthma,None,1,1,No,2,Not Married,51891.26,832,1079.0,727.12,391.1,176.16,24813.95,41612.38,2460.77,No
3,Ka,York,ka.york15@yahoo.com,1991-08-11,Thailand,Widowed,Female,155,54,+66 82 201 146,Thailand,Bang Kapi,Bangkok,10240,13.7667,100.65,Developer,4109.0,USD,Full-time,Salesforce,Large (501-5000),9,Satisfied,0,10,23,2017-07-12,Technical,Computer Science,Technical Institute,2012.0,0.0,,AB-,Yes,Yes,2025-12-30,22.5,Normal,7,High,Mediterranean,8.3,None,None,1,1,No,2,Not Married,50485.92,640,1756.89,526.44,360.65,3198.29,11636.41,31209.54,1465.02,Yes
4,Niesha,Buchanan,niesha.buchanan1@yahoo.com,1993-03-03,Ukraine,Divorced,Female,167,108,+380 63 634 2689,Ukraine,Черкаси,Cherkaska,18032,49.4285,32.0621,Chef,2920.0,USD,Full-time,Yum! Brands,Enterprise (5000+),11,Neutral,5,58,25,2015-07-13,High School,Culinary Arts,Private High School,2011.0,0.0,2.86,A+,Yes,No,2025-07-02,38.7,Obese,0,Low,Omnivore,7.9,Diabetes,Pollen,1,1,No,2,Not Married,38068.55,684,1312.78,351.85,260.64,527.16,10967.87,16285.84,994.73,Yes
5,Jonatã,Freitas,jonatã.freitas22@yahoo.com,1989-11-03,Portugal,Married,Male,151,66,+351 918 898 179,Portugal,Pousadouros,Aveiro,3750-057,40.5802,-8.4627,Engineer,4748.0,USD,Full-time,Arup,Large (501-5000),11,Satisfied,1,29,26,2015-07-13,Technical,Engineering,Technical Institute,2010.0,0.0,,AB-,Yes,No,2025-10-19,28.9,Overweight,7,Low,Omnivore,8.3,None,Medication,2,2,No,4,Yes,123921.35,599,1772.95,738.45,467.54,10237.65,14311.34,31204.79,1769.07,Yes
6,Nari,Ciresi,nari.ciresi59@outlook.com,1991-11-30,Italy,Separated,Male,152,101,+39 346 618 2847,Italy,Acciano,Abruzzi,67020,42.1768,13.7178,Chef,2157.0,USD,Full-time,McDonald's,Enterprise (5000+),11,Neutral,3,31,28,2015-07-13,No degree,,,,0.0,,B-,Yes,No,2025-08-06,43.7,Obese,4,None,Omnivore,5.9,None,Food,0,0,No,2,Yes,56487.77,653,718.73,328.4,179.88,3207.81,4387.97,11024.87,930.0,Yes
7,Rudy,Tucker,rudy.tucker80@gmail.com,1999-11-13,Canada,Single,Male,194,98,+1 697-560-7289,Canada,Innisfail,Alberta,T2P 8A7,52.0269,-113.9507,Engineer,3453.0,USD,Full-time,Worley,Medium (51-500),3,Satisfied,3,37,20,2023-07-11,Technical,Engineering,Vocational School,2020.0,0.0,,B-,Yes,No,2025-09-25,26.0,Overweight,8,Low,Vegetarian,6.9,None,Pollen,1,1,No,2,Not Married,42380.15,644,950.41,496.71,372.07,6347.02,11875.11,18148.44,1633.81,No
8,Yuridia,Riojas,yuridia.riojas99@yahoo.com,1991-02-08,United States,Divorced,Female,184,109,+1 731-665-6771,United States,Mekoryuk,Alaska,99630,60.3657,-166.2836,Doctor,7021.0,USD,Contract,UnitedHealth Group,Enterprise (5000+),6,Satisfied,3,104,23,2020-07-11,PhD,Medicine,Imperial College,2019.0,50557.02,3.7,AB-,Yes,No,2024-10-09,32.2,Obese,0,Moderate,Keto,7.8,None,None,0,0,No,1,Not Married,88015.96,651,2650.88,1051.34,623.74,5271.84,18496.61,14518.11,2695.03,Yes
9,Shanelle,Mcgee,shanelle.mcgee20@outlook.com,1980-12-10,Canada,Separated,Female,156,118,+1 470-802-4703,Canada,Calgary (Mount Pleasant / Capitol Hill / Banff Trail),Alberta,K8W 8D4,51.133,-113.856,Scientist,8152.0,USD,Full-time,Thermo Fisher Scientific Iberia,Large (501-5000),21,Satisfied,3,65,32,2005-07-15,Master,Science,ETH Zurich,2005.0,39297.84,3.65,O-,No,No,2026-06-03,48.5,Obese,4,Moderate,Omnivore,7.2,Diabetes,None,1,1,No,3,Yes,171443.06,673,2777.16,1422.72,928.55,12133.75,23391.82,15773.37,3023.56,Yes
10,Lourdes,Rael,lourdes.rael18@outlook.com,1990-05-26,Chile,Married,Female,170,97,+56 9 6974 6168,Chile,Mejillones,Región de Antofagasta,1310000,-22.936,-70.1986,Chef,3378.0,USD,Contract,El Celler de Can Roca,Small (1-50),18,Satisfied,1,4,34,2008-07-14,No degree,,,,0.0,,A-,No,No,2025-01-19,33.6,Obese,4,Moderate,Omnivore,7.0,Hypertension,None,4,4,No,6,Yes,71945.49,743,977.14,412.38,353.5,3006.82,15509.84,23205.96,1634.98,Yes
